"","Country","District_Name","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","probable_cumulative","confirmed_cumulative"
"352","Sierra Leone","KAILAHUN","1/13/14",0,0,0,0,"KAILAHUN",3,0,0
"354","Sierra Leone","KAMBIA","1/13/14",0,0,0,0,"KAMBIA",3,0,0
"356","Sierra Leone","KENEMA","1/13/14",0,0,0,0,"KENEMA",3,0,0
"358","Sierra Leone","KOINADUGU","1/13/14",0,0,0,0,"KOINADUGU",3,0,0
"360","Sierra Leone","KONO","1/13/14",0,0,0,0,"KONO",3,0,0
"362","Sierra Leone","MOYAMBA","1/13/14",0,0,0,0,"MOYAMBA",3,0,0
"364","Sierra Leone","PORT LOKO","1/13/14",0,0,0,0,"PORT LOKO",3,0,0
"366","Sierra Leone","PUJEHUN","1/13/14",0,0,0,0,"PUJEHUN",3,0,0
"368","Sierra Leone","TONKOLILI","1/13/14",0,0,0,0,"TONKOLILI",3,0,0
"370","Sierra Leone","WESTERN AREA RURAL","1/13/14",0,0,0,0,"WESTERN AREA RURAL",3,0,0
"372","Sierra Leone","WESTERN AREA URBAN","1/13/14",0,0,0,0,"WESTERN AREA URBAN",3,0,0
"374","Guinea","BEYLA","1/20/14",0,0,0,0,"BEYLA",4,0,0
"376","Guinea","BOFFA","1/20/14",0,0,0,0.0953101798043249,"BOFFA",4,0,0
"378","Guinea","BOKE","1/20/14",0,0,0,0,"BOKE",4,0,0
"380","Guinea","CONAKRY","1/20/14",0,0,0,0.0953101798043249,"CONAKRY",4,0,0
"382","Guinea","COYAH","1/20/14",0,0,0,0.0953101798043249,"COYAH",4,0,0
"384","Guinea","DABOLA","1/20/14",0,0,0,0,"DABOLA",4,0,0
"386","Guinea","DALABA","1/20/14",0,0,0,0,"DALABA",4,0,0
"388","Guinea","DINGUIRAYE","1/20/14",0,0,0,0,"DINGUIRAYE",4,0,0
"390","Guinea","DUBREKA","1/20/14",0,0,0,1.79175946922805,"DUBREKA",4,0,0
"392","Guinea","FARANAH","1/20/14",0,0,0,0,"FARANAH",4,0,0
"394","Guinea","FORECARIAH","1/20/14",0,0,0,0,"FORECARIAH",4,0,0
"396","Guinea","FRIA","1/20/14",0,0,0,0.0953101798043249,"FRIA",4,0,0
"398","Guinea","GAOUAL","1/20/14",0,0,0,0,"GAOUAL",4,0,0
"400","Guinea","GUECKEDOU","1/20/14",5,0,0,0,"GUECKEDOU",4,0,0
"402","Guinea","KANKAN","1/20/14",0,0,0,0,"KANKAN",4,0,0
"404","Guinea","KEROUANE","1/20/14",0,0,0,0,"KEROUANE",4,0,0
"406","Guinea","KINDIA","1/20/14",0,0,0,0.0953101798043249,"KINDIA",4,0,0
"408","Guinea","KISSIDOUGOU","1/20/14",0,0,0,0,"KISSIDOUGOU",4,0,0
"410","Guinea","KOUBIA","1/20/14",0,0,0,0,"KOUBIA",4,0,0
"412","Guinea","KOUNDARA","1/20/14",0,0,0,0,"KOUNDARA",4,0,0
"414","Guinea","KOUROUSSA","1/20/14",0,0,0,0,"KOUROUSSA",4,0,0
"416","Guinea","LABE","1/20/14",0,0,0,0,"LABE",4,0,0
"418","Guinea","LELOUMA","1/20/14",0,0,0,0,"LELOUMA",4,0,0
