"","Country","District","Case_Type","Week","Probable","Confirmed","confirmed.foi","probable.foi","probable_cumulative","confirmed_cumulative","population_size","log_normalized_probable","normalized_confirmed","normalized_probable_cumulative","normalized_confirmed_cumulative"
"972","Sierra Leone","MOYAMBA"," Probable",2015-01-20,0,0,0,0,0,0,330507,0,0,0,0
"976","Sierra Leone","PORTLOKO"," Probable",2015-01-20,0,0,0,0,0,0,574781,0,0,0,0
"980","Sierra Leone","PUJEHUN"," Probable",2015-01-20,0,0,0,0,0,0,289315,0,0,0,0
"984","Sierra Leone","TONKOLILI"," Probable",2015-01-20,0,0,0,0,0,0,439810,0,0,0,0
"988","Sierra Leone","WESTERNAREARURAL"," Probable",2015-01-20,0,0,0,0,0,0,1199763,0,0,0,0
"992","Sierra Leone","WESTERNAREAURBAN"," Probable",2015-01-20,0,0,0,0,0,0,979034,0,0,0,0
"996","Guinea","BEYLA"," Probable",2015-01-27,0,0,0,0,0,0,325482,0,0,0,0
"1000","Guinea","BOFFA"," Probable",2015-01-27,0,0,0,0.148420005118273,0,0,211063,0,0,0,0
"1004","Guinea","BOKE"," Probable",2015-01-27,0,0,0,0,0,0,449405,0,0,0,0
"1008","Guinea","CONAKRY"," Probable",2015-01-27,0,0,0,0.148420005118273,0,0,1667864,0,0,0,0
"1012","Guinea","COYAH"," Probable",2015-01-27,0,0,0,0.148420005118273,0,0,264164,0,0,0,0
"1016","Guinea","DABOLA"," Probable",2015-01-27,0,0,0,0,0,0,182951,0,0,0,0
"1020","Guinea","DALABA"," Probable",2015-01-27,0,0,0,0,0,0,136320,0,0,0,0
"1024","Guinea","DINGUIRAYE"," Probable",2015-01-27,0,0,0,0,0,0,195662,0,0,0,0
"1028","Guinea","DUBREKA"," Probable",2015-01-27,0,0,0,2.19722457733622,0,0,328418,0,0,0,0
"1032","Guinea","FARANAH"," Probable",2015-01-27,0,0,0,0,0,0,280511,0,0,0,0
"1036","Guinea","FORECARIAH"," Probable",2015-01-27,0,0,0,0,0,0,244649,0,0,0,0
"1040","Guinea","FRIA"," Probable",2015-01-27,0,0,0,0.148420005118273,0,0,96527,0,0,0,0
